title,rating,description,removed_punc,tokenized_description
ghosts of sugar land,tv-ma,"shocked friend embrace extremism, group muslim american texas recount time theory fate.",shocked friend embrace extremism group muslim american texas recount time theory fate,"['shocked', 'friend', 'embrace', 'extremism', 'group', 'muslim', 'american', 'texas', 'recount', 'time', 'theory', 'fate']"
league of legends origins,tv-ma,"fans, expert creator ""league legends"" detail game’s rise free demo global esports titan.",fans expert creator league legends detail games rise free demo global esports titan,"['fans', 'expert', 'creator', 'league', 'legends', 'detail', 'games', 'rise', 'free', 'demo', 'global', 'esports', 'titan']"
park na-rae: glamour warning,tv-ma,"korea’s beloved comedian favorite big sister figure talk sex, relationship celebrity life. she’s sassier dirtier ever before.",koreas beloved comedian favorite big sister figure talk sex relationship celebrity life shes sassier dirtier ever before,"['koreas', 'beloved', 'comedian', 'favorite', 'big', 'sister', 'figure', 'talk', 'sex', 'relationship', 'celebrity', 'life', 'shes', 'sassier', 'dirtier', 'ever', 'before']"
second 20s,tv-14,"facing major changes, mother realizes time live decides enroll college, find dream well new love.",facing major changes mother realizes time live decides enroll college find dream well new love,"['facing', 'major', 'changes', 'mother', 'realizes', 'time', 'live', 'decides', 'enroll', 'college', 'find', 'dream', 'well', 'new', 'love']"
sinister 2,r,"single mother twin son move rural house, unaware history inhabited evil spirit prey upon young children.",single mother twin son move rural house unaware history inhabited evil spirit prey upon young children,"['single', 'mother', 'twin', 'son', 'move', 'rural', 'house', 'unaware', 'history', 'inhabited', 'evil', 'spirit', 'prey', 'upon', 'young', 'children']"
the game changers,tv-ma,"special force trainer james wilks asks elite athlete compare merit meat, protein plant building strength. spoiler: plant win.",special force trainer james wilks asks elite athlete compare merit meat protein plant building strength spoiler plant win,"['special', 'force', 'trainer', 'james', 'wilks', 'asks', 'elite', 'athlete', 'compare', 'merit', 'meat', 'protein', 'plant', 'building', 'strength', 'spoiler', 'plant', 'win']"
black money love,tv-ma,"cop's fiancée jewelry designer's father found dead together, two bereaved one face perilous aftermath theft gone wrong.",cops fiance jewelry designers father found dead together two bereaved one face perilous aftermath theft gone wrong,"['cops', 'fiance', 'jewelry', 'designers', 'father', 'found', 'dead', 'together', 'two', 'bereaved', 'one', 'face', 'perilous', 'aftermath', 'theft', 'gone', 'wrong']"
dark crimes,r,detective cold murder case discovers famous writer’s latest novel contains detail chillingly similar crime he’s investigating.,detective cold murder case discovers famous writers latest novel contains detail chillingly similar crime hes investigating,"['detective', 'cold', 'murder', 'case', 'discovers', 'famous', 'writers', 'latest', 'novel', 'contains', 'detail', 'chillingly', 'similar', 'crime', 'hes', 'investigating']"
homeland,tv-pg,"determined trace ancestral history, armenian woman travel french village, befriends kind man and, better yet, find herself.",determined trace ancestral history armenian woman travel french village befriends kind man and better yet find herself,"['determined', 'trace', 'ancestral', 'history', 'armenian', 'woman', 'travel', 'french', 'village', 'befriends', 'kind', 'man', 'and', 'better', 'yet', 'find', 'herself']"
magical andes,tv-g,"argentina colombia, stunning documentary follows five character share deep connection south america's majestic mountains.",argentina colombia stunning documentary follows five character share deep connection south americas majestic mountains,"['argentina', 'colombia', 'stunning', 'documentary', 'follows', 'five', 'character', 'share', 'deep', 'connection', 'south', 'americas', 'majestic', 'mountains']"
power rangers beast morphers,tv-y7-fv,new breed secret agent must stop ruthless computer virus minion stealing unlimited clean energy source created them.,new breed secret agent must stop ruthless computer virus minion stealing unlimited clean energy source created them,"['new', 'breed', 'secret', 'agent', 'must', 'stop', 'ruthless', 'computer', 'virus', 'minion', 'stealing', 'unlimited', 'clean', 'energy', 'source', 'created', 'them']"
saint seiya,tv-pg,band young warrior magical armor vow defend reincarnation greek goddess athena evil force return throne.,band young warrior magical armor vow defend reincarnation greek goddess athena evil force return throne,"['band', 'young', 'warrior', 'magical', 'armor', 'vow', 'defend', 'reincarnation', 'greek', 'goddess', 'athena', 'evil', 'force', 'return', 'throne']"
"martin matte: la vie, la mort...eh la la..!",tv-14,"quebecois comedy star martin matte serf embarrassing personal stories, solution social medium troll unpredictable special.",quebecois comedy star martin matte serf embarrassing personal stories solution social medium troll unpredictable special,"['quebecois', 'comedy', 'star', 'martin', 'matte', 'serf', 'embarrassing', 'personal', 'stories', 'solution', 'social', 'medium', 'troll', 'unpredictable', 'special']"
street flow,tv-ma,"three brother – gangster, scholar impressionable teen – learn hard lesson gritty suburb searching mean survive.",three brother  gangster scholar impressionable teen  learn hard lesson gritty suburb searching mean survive,"['three', 'brother', 'gangster', 'scholar', 'impressionable', 'teen', 'learn', 'hard', 'lesson', 'gritty', 'suburb', 'searching', 'mean', 'survive']"
the lies within,tv-14,"father dy husband go missing, kim seo-hui team detective jo tae-sik join national assembly.",father dy husband go missing kim seohui team detective jo taesik join national assembly,"['father', 'dy', 'husband', 'go', 'missing', 'kim', 'seohui', 'team', 'detective', 'jo', 'taesik', 'join', 'national', 'assembly']"
bygones be bygones,tv-ma,mother's plan find bachelor son match derails new prospect turn sinister scheme unfold.,mothers plan find bachelor son match derails new prospect turn sinister scheme unfold,"['mothers', 'plan', 'find', 'bachelor', 'son', 'match', 'derails', 'new', 'prospect', 'turn', 'sinister', 'scheme', 'unfold']"
el camino: a breaking bad movie,tv-ma,"fugitive jesse pinkman attempt outrun past. written directed ""breaking bad"" creator vince gilligan, starring aaron paul.",fugitive jesse pinkman attempt outrun past written directed breaking bad creator vince gilligan starring aaron paul,"['fugitive', 'jesse', 'pinkman', 'attempt', 'outrun', 'past', 'written', 'directed', 'breaking', 'bad', 'creator', 'vince', 'gilligan', 'starring', 'aaron', 'paul']"
fractured,tv-ma,"wife injured daughter disappear er, man conduct panicked search becomes convinced hospital hiding something.",wife injured daughter disappear er man conduct panicked search becomes convinced hospital hiding something,"['wife', 'injured', 'daughter', 'disappear', 'er', 'man', 'conduct', 'panicked', 'search', 'becomes', 'convinced', 'hospital', 'hiding', 'something']"
haunted,tv-ma,"real people sit friend family share terrifying true story past, re-created chilling re-enactments.",real people sit friend family share terrifying true story past recreated chilling reenactments,"['real', 'people', 'sit', 'friend', 'family', 'share', 'terrifying', 'true', 'story', 'past', 'recreated', 'chilling', 'reenactments']"
insatiable,tv-ma,"bullied teenager turn beauty pageant way exact revenge, help disgraced coach soon realizes head.",bullied teenager turn beauty pageant way exact revenge help disgraced coach soon realizes head,"['bullied', 'teenager', 'turn', 'beauty', 'pageant', 'way', 'exact', 'revenge', 'help', 'disgraced', 'coach', 'soon', 'realizes', 'head']"
the bling lagosians,tv-14,"matriarch bent lavish 51st birthday party, family's debt verge exposure, threatening business – legacy.",matriarch bent lavish st birthday party familys debt verge exposure threatening business  legacy,"['matriarch', 'bent', 'lavish', 'st', 'birthday', 'party', 'familys', 'debt', 'verge', 'exposure', 'threatening', 'business', 'legacy']"
the forest of love,tv-ma,con man would-be filmmaking crew force life two grief-scarred young women. nothing seems.,con man wouldbe filmmaking crew force life two griefscarred young women nothing seems,"['con', 'man', 'wouldbe', 'filmmaking', 'crew', 'force', 'life', 'two', 'griefscarred', 'young', 'women', 'nothing', 'seems']"
the hook up plan,tv-14,"parisian elsa get hung ex, best friend secretly hire male escort help move on. plan work little well.",parisian elsa get hung ex best friend secretly hire male escort help move on plan work little well,"['parisian', 'elsa', 'get', 'hung', 'ex', 'best', 'friend', 'secretly', 'hire', 'male', 'escort', 'help', 'move', 'on', 'plan', 'work', 'little', 'well']"
the influence,tv-ma,"back childhood home help sister care comatose mother, alicia must face dark force past threatens child.",back childhood home help sister care comatose mother alicia must face dark force past threatens child,"['back', 'childhood', 'home', 'help', 'sister', 'care', 'comatose', 'mother', 'alicia', 'must', 'face', 'dark', 'force', 'past', 'threatens', 'child']"
yoohoo to the rescue,tv-y,"series magical missions, quick-witted yoohoo can-do crew travel globe help animal need.",series magical missions quickwitted yoohoo cando crew travel globe help animal need,"['series', 'magical', 'missions', 'quickwitted', 'yoohoo', 'cando', 'crew', 'travel', 'globe', 'help', 'animal', 'need']"
beyblade burst turbo,tv-y7,"yearning earn title world blading champion, novice competitor must harness untamed potential training tournaments.",yearning earn title world blading champion novice competitor must harness untamed potential training tournaments,"['yearning', 'earn', 'title', 'world', 'blading', 'champion', 'novice', 'competitor', 'must', 'harness', 'untamed', 'potential', 'training', 'tournaments']"
gen hoshino stadium tour “pop virus”,tv-pg,singer-songwriter gen hoshino take stage sold tokyo dome highly anticipated 2019 pop virus dome tour.,singersongwriter gen hoshino take stage sold tokyo dome highly anticipated  pop virus dome tour,"['singersongwriter', 'gen', 'hoshino', 'take', 'stage', 'sold', 'tokyo', 'dome', 'highly', 'anticipated', 'pop', 'virus', 'dome', 'tour']"
schitt's creek,tv-14,"suddenly broke, formerly filthy-rich rose family reduced living ramshackle motel town bought joke: schitt's creek.",suddenly broke formerly filthyrich rose family reduced living ramshackle motel town bought joke schitts creek,"['suddenly', 'broke', 'formerly', 'filthyrich', 'rose', 'family', 'reduced', 'living', 'ramshackle', 'motel', 'town', 'bought', 'joke', 'schitts', 'creek']"
ultramarine magmell,tv-14,"decade sudden birth new continent, young rescuer-for-hire provides aid adventurer exploring dangerous, uncharted world.",decade sudden birth new continent young rescuerforhire provides aid adventurer exploring dangerous uncharted world,"['decade', 'sudden', 'birth', 'new', 'continent', 'young', 'rescuerforhire', 'provides', 'aid', 'adventurer', 'exploring', 'dangerous', 'uncharted', 'world']"
after,pg-13,"wholesome college freshman tessa young think know want life, cross path complicated bad boy hardin scott.",wholesome college freshman tessa young think know want life cross path complicated bad boy hardin scott,"['wholesome', 'college', 'freshman', 'tessa', 'young', 'think', 'know', 'want', 'life', 'cross', 'path', 'complicated', 'bad', 'boy', 'hardin', 'scott']"
home is where the killer is,tv-14,"recovering cancer, young woman think she’s found friend rent room caring ex-doctor. empathy soon becomes obsession.",recovering cancer young woman think shes found friend rent room caring exdoctor empathy soon becomes obsession,"['recovering', 'cancer', 'young', 'woman', 'think', 'shes', 'found', 'friend', 'rent', 'room', 'caring', 'exdoctor', 'empathy', 'soon', 'becomes', 'obsession']"
rhythm + flow,tv-ma,"music competition show, judge tip “t.i.” harris, cardi b chance rapper hit street find next rap superstar.",music competition show judge tip ti harris cardi b chance rapper hit street find next rap superstar,"['music', 'competition', 'show', 'judge', 'tip', 'ti', 'harris', 'cardi', 'b', 'chance', 'rapper', 'hit', 'street', 'find', 'next', 'rap', 'superstar']"
deon cole: cole hearted,tv-ma,"embracing belief comedy last raw form expression, deon cole explains right time thank jesus wrong time say ""welp.""",embracing belief comedy last raw form expression deon cole explains right time thank jesus wrong time say welp,"['embracing', 'belief', 'comedy', 'last', 'raw', 'form', 'expression', 'deon', 'cole', 'explains', 'right', 'time', 'thank', 'jesus', 'wrong', 'time', 'say', 'welp']"
the spooky tale of captain underpants hack-a-ween,tv-y7,"melvin try cancel halloween, clever best friend harold george create spooky holiday – huge success!",melvin try cancel halloween clever best friend harold george create spooky holiday  huge success,"['melvin', 'try', 'cancel', 'halloween', 'clever', 'best', 'friend', 'harold', 'george', 'create', 'spooky', 'holiday', 'huge', 'success']"
the water diviner,r,"year presumed death three son battle, grieving farmer journey turkey find return homeland.",year presumed death three son battle grieving farmer journey turkey find return homeland,"['year', 'presumed', 'death', 'three', 'son', 'battle', 'grieving', 'farmer', 'journey', 'turkey', 'find', 'return', 'homeland']"
love for sale,tv-14,"richard accepts bet can't find companion friend's wedding, knowing dating app using includes 45-day contract.",richard accepts bet cant find companion friends wedding knowing dating app using includes day contract,"['richard', 'accepts', 'bet', 'cant', 'find', 'companion', 'friends', 'wedding', 'knowing', 'dating', 'app', 'using', 'includes', 'day', 'contract']"
legend quest: masters of myth,tv-y7,"mythical creature come life, leo, teodora, andrés alebrije – super-secret monster hunter – save day.",mythical creature come life leo teodora andrs alebrije  supersecret monster hunter  save day,"['mythical', 'creature', 'come', 'life', 'leo', 'teodora', 'andrs', 'alebrije', 'supersecret', 'monster', 'hunter', 'save', 'day']"
my country: the new age,tv-14,"end goryeo period, led charge proclaim new age – ordinary individual risked everything.",end goryeo period led charge proclaim new age  ordinary individual risked everything,"['end', 'goryeo', 'period', 'led', 'charge', 'proclaim', 'new', 'age', 'ordinary', 'individual', 'risked', 'everything']"
noblemen,tv-ma,"land lead christian school's production ""the merchant venice,"" secretly gay student bullied wealthy upperclassmen.",land lead christian schools production the merchant venice secretly gay student bullied wealthy upperclassmen,"['land', 'lead', 'christian', 'schools', 'production', 'the', 'merchant', 'venice', 'secretly', 'gay', 'student', 'bullied', 'wealthy', 'upperclassmen']"
a plastic ocean,tv-pg,"discovers world's ocean brimming plastic waste, documentary filmmaker investigates pollution's environmental impacts.",discovers worlds ocean brimming plastic waste documentary filmmaker investigates pollutions environmental impacts,"['discovers', 'worlds', 'ocean', 'brimming', 'plastic', 'waste', 'documentary', 'filmmaker', 'investigates', 'pollutions', 'environmental', 'impacts']"
brother in love,tv-14,"robbery leaf proprietor penniless wedding, becoming son-in-law second family might financial solution needs.",robbery leaf proprietor penniless wedding becoming soninlaw second family might financial solution needs,"['robbery', 'leaf', 'proprietor', 'penniless', 'wedding', 'becoming', 'soninlaw', 'second', 'family', 'might', 'financial', 'solution', 'needs']"
creeped out,tv-y7,"masked figure known ""the curious"" collect tale dark magic, otherworldly encounter twisted technology kid anthology series.",masked figure known the curious collect tale dark magic otherworldly encounter twisted technology kid anthology series,"['masked', 'figure', 'known', 'the', 'curious', 'collect', 'tale', 'dark', 'magic', 'otherworldly', 'encounter', 'twisted', 'technology', 'kid', 'anthology', 'series']"
in the tall grass,tv-ma,"hearing boy's cry help, pregnant woman brother wade vast field grass, discover may way out.",hearing boys cry help pregnant woman brother wade vast field grass discover may way out,"['hearing', 'boys', 'cry', 'help', 'pregnant', 'woman', 'brother', 'wade', 'vast', 'field', 'grass', 'discover', 'may', 'way', 'out']"
kids on the block,tv-pg,"fun park threatened neighborhood nagger, group friend declares war play freely turf.",fun park threatened neighborhood nagger group friend declares war play freely turf,"['fun', 'park', 'threatened', 'neighborhood', 'nagger', 'group', 'friend', 'declares', 'war', 'play', 'freely', 'turf']"
peaky blinders,tv-ma,"notorious gang 1919 birmingham, england, led fierce tommy shelby, crime bos set moving world matter cost.",notorious gang  birmingham england led fierce tommy shelby crime bos set moving world matter cost,"['notorious', 'gang', 'birmingham', 'england', 'led', 'fierce', 'tommy', 'shelby', 'crime', 'bos', 'set', 'moving', 'world', 'matter', 'cost']"
raising dion,tv-pg,widowed mom set solve mystery surrounding young son's emerging superpower keeping extraordinary gift wraps.,widowed mom set solve mystery surrounding young sons emerging superpower keeping extraordinary gift wraps,"['widowed', 'mom', 'set', 'solve', 'mystery', 'surrounding', 'young', 'sons', 'emerging', 'superpower', 'keeping', 'extraordinary', 'gift', 'wraps']"
rotten,tv-ma,docuseries travel deep heart food supply chain reveal unsavory truth expose hidden force shape eat.,docuseries travel deep heart food supply chain reveal unsavory truth expose hidden force shape eat,"['docuseries', 'travel', 'deep', 'heart', 'food', 'supply', 'chain', 'reveal', 'unsavory', 'truth', 'expose', 'hidden', 'force', 'shape', 'eat']"
super monsters,tv-y,preschool kid whose parent world's famous monster try master special power preparing kindergarten.,preschool kid whose parent worlds famous monster try master special power preparing kindergarten,"['preschool', 'kid', 'whose', 'parent', 'worlds', 'famous', 'monster', 'try', 'master', 'special', 'power', 'preparing', 'kindergarten']"
super monsters: vida's first halloween,tv-y,"super monster share halloween tradition vida, get invited día de los muertos party howlers' backyard.",super monster share halloween tradition vida get invited da de los muertos party howlers backyard,"['super', 'monster', 'share', 'halloween', 'tradition', 'vida', 'get', 'invited', 'da', 'de', 'los', 'muertos', 'party', 'howlers', 'backyard']"
forks over knives,pg,"according research two food scientists, popularity processed food led epidemic rate obesity, diabetes diseases.",according research two food scientists popularity processed food led epidemic rate obesity diabetes diseases,"['according', 'research', 'two', 'food', 'scientists', 'popularity', 'processed', 'food', 'led', 'epidemic', 'rate', 'obesity', 'diabetes', 'diseases']"
seis manos,tv-ma,"orphan raised martial art master plunged mystery involving demonic powers, drug cartels, ancient ritual blood sacrifice.",orphan raised martial art master plunged mystery involving demonic powers drug cartels ancient ritual blood sacrifice,"['orphan', 'raised', 'martial', 'art', 'master', 'plunged', 'mystery', 'involving', 'demonic', 'powers', 'drug', 'cartels', 'ancient', 'ritual', 'blood', 'sacrifice']"
border patrol,tv-pg,reality tv series follows men woman new zealand's border patrol quest keep country safe secure.,reality tv series follows men woman new zealands border patrol quest keep country safe secure,"['reality', 'tv', 'series', 'follows', 'men', 'woman', 'new', 'zealands', 'border', 'patrol', 'quest', 'keep', 'country', 'safe', 'secure']"
botched up bodies,tv-ma,"lifting saggy skin repairing shoddy breast enhancements, plastic surgeon tackle extreme fixer-uppers.",lifting saggy skin repairing shoddy breast enhancements plastic surgeon tackle extreme fixeruppers,"['lifting', 'saggy', 'skin', 'repairing', 'shoddy', 'breast', 'enhancements', 'plastic', 'surgeon', 'tackle', 'extreme', 'fixeruppers']"
bringing sexy back,tv-14,"reality series, everyday individual adopt healthier lifestyle transform body reclaim confidence – dramatic results.",reality series everyday individual adopt healthier lifestyle transform body reclaim confidence  dramatic results,"['reality', 'series', 'everyday', 'individual', 'adopt', 'healthier', 'lifestyle', 'transform', 'body', 'reclaim', 'confidence', 'dramatic', 'results']"
court justice,tv-ma,"bustling local court sydney, 12 magistrate preside different level criminal offense deliver life-changing verdicts.",bustling local court sydney  magistrate preside different level criminal offense deliver lifechanging verdicts,"['bustling', 'local', 'court', 'sydney', 'magistrate', 'preside', 'different', 'level', 'criminal', 'offense', 'deliver', 'lifechanging', 'verdicts']"
diva brides,tv-ma,"reality series, brides-to-be stop nothing dream wedding despite meager funds, fallout friend even absent grooms.",reality series bridestobe stop nothing dream wedding despite meager funds fallout friend even absent grooms,"['reality', 'series', 'bridestobe', 'stop', 'nothing', 'dream', 'wedding', 'despite', 'meager', 'funds', 'fallout', 'friend', 'even', 'absent', 'grooms']"
ghost town gold,tv-14,"two history buff eye valuable traverse forgotten mine abandoned landmark wild, wild west score collectibles.",two history buff eye valuable traverse forgotten mine abandoned landmark wild wild west score collectibles,"['two', 'history', 'buff', 'eye', 'valuable', 'traverse', 'forgotten', 'mine', 'abandoned', 'landmark', 'wild', 'wild', 'west', 'score', 'collectibles']"
horror homes,tv-14,"dream home turn property nightmare mold, maggots, natural disaster inconvenience move in.",dream home turn property nightmare mold maggots natural disaster inconvenience move in,"['dream', 'home', 'turn', 'property', 'nightmare', 'mold', 'maggots', 'natural', 'disaster', 'inconvenience', 'move', 'in']"
kitten rescuers,tv-14,cat-crazy host jo brand follows vet animal welfare officer take daring rescue save furry feline subjected different cat-astrophes.,catcrazy host jo brand follows vet animal welfare officer take daring rescue save furry feline subjected different catastrophes,"['catcrazy', 'host', 'jo', 'brand', 'follows', 'vet', 'animal', 'welfare', 'officer', 'take', 'daring', 'rescue', 'save', 'furry', 'feline', 'subjected', 'different', 'catastrophes']"
license to drill: louisiana,tv-pg,"crew oil rigger work off-season job swap blistering cold native canada sunny, southern comfort big easy.",crew oil rigger work offseason job swap blistering cold native canada sunny southern comfort big easy,"['crew', 'oil', 'rigger', 'work', 'offseason', 'job', 'swap', 'blistering', 'cold', 'native', 'canada', 'sunny', 'southern', 'comfort', 'big', 'easy']"
living undocumented,tv-ma,eight undocumented families' fate roller-coast united states' immigration policy transformed.,eight undocumented families fate rollercoast united states immigration policy transformed,"['eight', 'undocumented', 'families', 'fate', 'rollercoast', 'united', 'states', 'immigration', 'policy', 'transformed']"
ready to mingle,tv-ma,"man thought marry break her, ana join class single woman search husband.",man thought marry break her ana join class single woman search husband,"['man', 'thought', 'marry', 'break', 'her', 'ana', 'join', 'class', 'single', 'woman', 'search', 'husband']"
salam - the first ****** nobel laureate,tv-pg,"shunned country due religion, abdus salam strives achievement would define modern physic redefine place back home.",shunned country due religion abdus salam strives achievement would define modern physic redefine place back home,"['shunned', 'country', 'due', 'religion', 'abdus', 'salam', 'strives', 'achievement', 'would', 'define', 'modern', 'physic', 'redefine', 'place', 'back', 'home']"
300 miles to heaven,tv-14,"hoping help dissident parents, two brother sneak poland land refugee denmark, prevented returning home.",hoping help dissident parents two brother sneak poland land refugee denmark prevented returning home,"['hoping', 'help', 'dissident', 'parents', 'two', 'brother', 'sneak', 'poland', 'land', 'refugee', 'denmark', 'prevented', 'returning', 'home']"
a.m.i.,tv-ma,"losing mother, teenage girl bond phone’s artificial intelligence app, relationship soon take dark violent turn.",losing mother teenage girl bond phones artificial intelligence app relationship soon take dark violent turn,"['losing', 'mother', 'teenage', 'girl', 'bond', 'phones', 'artificial', 'intelligence', 'app', 'relationship', 'soon', 'take', 'dark', 'violent', 'turn']"
along came a spider,r,"girl kidnapped prestigious prep school, homicide detective take case, teaming young security agent.",girl kidnapped prestigious prep school homicide detective take case teaming young security agent,"['girl', 'kidnapped', 'prestigious', 'prep', 'school', 'homicide', 'detective', 'take', 'case', 'teaming', 'young', 'security', 'agent']"
alpha and omega 2: a howl-iday adventure,tv-g,"animated outdoor adventure, wolf couple humphrey kate face crisis one three cub disappears without explanation.",animated outdoor adventure wolf couple humphrey kate face crisis one three cub disappears without explanation,"['animated', 'outdoor', 'adventure', 'wolf', 'couple', 'humphrey', 'kate', 'face', 'crisis', 'one', 'three', 'cub', 'disappears', 'without', 'explanation']"
bad boys,r,"fast-paced actioner, two miami narcotic cop hot trail master crook snatched $100 million worth heroin.",fastpaced actioner two miami narcotic cop hot trail master crook snatched  million worth heroin,"['fastpaced', 'actioner', 'two', 'miami', 'narcotic', 'cop', 'hot', 'trail', 'master', 'crook', 'snatched', 'million', 'worth', 'heroin']"
bad boys ii,r,"hyperkinetic sequel, pair miami narcotic cop investigate cuban drug kingpin's connection florida's influx ecstasy.",hyperkinetic sequel pair miami narcotic cop investigate cuban drug kingpins connection floridas influx ecstasy,"['hyperkinetic', 'sequel', 'pair', 'miami', 'narcotic', 'cop', 'investigate', 'cuban', 'drug', 'kingpins', 'connection', 'floridas', 'influx', 'ecstasy']"
blow,r,cocaine smuggler george rise poverty become one biggest drug dealer america eventual downfall.,cocaine smuggler george rise poverty become one biggest drug dealer america eventual downfall,"['cocaine', 'smuggler', 'george', 'rise', 'poverty', 'become', 'one', 'biggest', 'drug', 'dealer', 'america', 'eventual', 'downfall']"
burnistoun,tv-ma,"sketch series focus eccentric character small scottish town, including bumbling cops, ""dj jesus"" disgruntled serial killer.",sketch series focus eccentric character small scottish town including bumbling cops dj jesus disgruntled serial killer,"['sketch', 'series', 'focus', 'eccentric', 'character', 'small', 'scottish', 'town', 'including', 'bumbling', 'cops', 'dj', 'jesus', 'disgruntled', 'serial', 'killer']"
candyman,r,"grad student helen lyle unintentionally summons candyman, hook-handed creature made flesh people's belief him.",grad student helen lyle unintentionally summons candyman hookhanded creature made flesh peoples belief him,"['grad', 'student', 'helen', 'lyle', 'unintentionally', 'summons', 'candyman', 'hookhanded', 'creature', 'made', 'flesh', 'peoples', 'belief', 'him']"
carmen sandiego,tv-y7-fv,"master thief us skill good, carmen sandiego travel world foiling v.i.l.e.'s evil plan – help savvy sidekicks.",master thief us skill good carmen sandiego travel world foiling viles evil plan  help savvy sidekicks,"['master', 'thief', 'us', 'skill', 'good', 'carmen', 'sandiego', 'travel', 'world', 'foiling', 'viles', 'evil', 'plan', 'help', 'savvy', 'sidekicks']"
charlie's angels,pg-13,"three beauty use looks, charm martial-arts training kick butt trail stolen software reboot classic tv series.",three beauty use looks charm martialarts training kick butt trail stolen software reboot classic tv series,"['three', 'beauty', 'use', 'looks', 'charm', 'martialarts', 'training', 'kick', 'butt', 'trail', 'stolen', 'software', 'reboot', 'classic', 'tv', 'series']"
charlie's angels: full throttle,pg-13,"reboot tv classic, angel tasked finding lost ring encoded personal information people witness protection.",reboot tv classic angel tasked finding lost ring encoded personal information people witness protection,"['reboot', 'tv', 'classic', 'angel', 'tasked', 'finding', 'lost', 'ring', 'encoded', 'personal', 'information', 'people', 'witness', 'protection']"
cheese in the trap,tv-14,"adaptation popular webtoon, poor student trying navigate college life gain attention wealthy upperclassman dark side.",adaptation popular webtoon poor student trying navigate college life gain attention wealthy upperclassman dark side,"['adaptation', 'popular', 'webtoon', 'poor', 'student', 'trying', 'navigate', 'college', 'life', 'gain', 'attention', 'wealthy', 'upperclassman', 'dark', 'side']"
chicago typewriter,tv-14,veterinarian two writer mysterious connection korean independence fighter japanese colonial period.,veterinarian two writer mysterious connection korean independence fighter japanese colonial period,"['veterinarian', 'two', 'writer', 'mysterious', 'connection', 'korean', 'independence', 'fighter', 'japanese', 'colonial', 'period']"
college romance,tv-ma,"three best friend look love, laugh lifelong memory attending college together.",three best friend look love laugh lifelong memory attending college together,"['three', 'best', 'friend', 'look', 'love', 'laugh', 'lifelong', 'memory', 'attending', 'college', 'together']"
crash,r,"post-sept. 11 los angeles, tension erupt life people walk life converge 36-hour period.",postsept  los angeles tension erupt life people walk life converge hour period,"['postsept', 'los', 'angeles', 'tension', 'erupt', 'life', 'people', 'walk', 'life', 'converge', 'hour', 'period']"
dumb and dumberer: when harry met lloyd,pg-13,wacky prequel 1994 blockbuster go back lame-brained title characters' day classmate rhode island high school.,wacky prequel  blockbuster go back lamebrained title characters day classmate rhode island high school,"['wacky', 'prequel', 'blockbuster', 'go', 'back', 'lamebrained', 'title', 'characters', 'day', 'classmate', 'rhode', 'island', 'high', 'school']"
earth to echo,pg,"construction project begin neighborhood, four friend start receiving bizarre encoded text message cell phones.",construction project begin neighborhood four friend start receiving bizarre encoded text message cell phones,"['construction', 'project', 'begin', 'neighborhood', 'four', 'friend', 'start', 'receiving', 'bizarre', 'encoded', 'text', 'message', 'cell', 'phones']"
engineering girls,tv-14,"three engineering student deal dorm drama, date around, whatever take make dream come true.",three engineering student deal dorm drama date around whatever take make dream come true,"['three', 'engineering', 'student', 'deal', 'dorm', 'drama', 'date', 'around', 'whatever', 'take', 'make', 'dream', 'come', 'true']"
"escape from the ""liberty"" cinema",tv-ma,"artistic rebellion ignites movie film character suddenly speak freely audience, prompting surly censor combat uprising.",artistic rebellion ignites movie film character suddenly speak freely audience prompting surly censor combat uprising,"['artistic', 'rebellion', 'ignites', 'movie', 'film', 'character', 'suddenly', 'speak', 'freely', 'audience', 'prompting', 'surly', 'censor', 'combat', 'uprising']"
exit wounds,r,maverick cop orin boyd join force unlikely ally gangster latrell walker take group dirty detroit cops.,maverick cop orin boyd join force unlikely ally gangster latrell walker take group dirty detroit cops,"['maverick', 'cop', 'orin', 'boyd', 'join', 'force', 'unlikely', 'ally', 'gangster', 'latrell', 'walker', 'take', 'group', 'dirty', 'detroit', 'cops']"
first kiss,tv-pg,starry-eyed employee hot cosmetic company hire dreamy photographer secretly indebted major rival – sketchy aunt.,starryeyed employee hot cosmetic company hire dreamy photographer secretly indebted major rival  sketchy aunt,"['starryeyed', 'employee', 'hot', 'cosmetic', 'company', 'hire', 'dreamy', 'photographer', 'secretly', 'indebted', 'major', 'rival', 'sketchy', 'aunt']"
girls hostel,tv-ma,four girl different background become unlikely friend move dormitory female dental students.,four girl different background become unlikely friend move dormitory female dental students,"['four', 'girl', 'different', 'background', 'become', 'unlikely', 'friend', 'move', 'dormitory', 'female', 'dental', 'students']"
good burger,pg,two l.a. teen summer job good burger try save small restaurant corporate giant burger franchise move across street.,two la teen summer job good burger try save small restaurant corporate giant burger franchise move across street,"['two', 'la', 'teen', 'summer', 'job', 'good', 'burger', 'try', 'save', 'small', 'restaurant', 'corporate', 'giant', 'burger', 'franchise', 'move', 'across', 'street']"
